id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22096356,CityCenter Stay Inn with Free Parking and A/C,6129991,Vasco,Lisboa,Avenidas Novas,38.74792,-9.15057,Entire home/apt,33,3,46,2019-02-11,3.46,4,171
22097285,Avenida da Liberdade Luxus,3953109,Feels Like Home,Lisboa,Santo Antnio,38.72193,-9.14396,Entire home/apt,78,2,15,2019-01-14,1.21,272,247
22101476,Charming and Peaceful Lemon Tree House,2125391,Nuno,Lisboa,Santa Maria Maior,38.71265,-9.13425,Entire home/apt,73,3,30,2018-11-29,2.20,2,326
22106042,Martim Moniz Private Suite with Courtyard,56833435,Inês,Lisboa,Santa Maria Maior,38.71828,-9.13584,Entire home/apt,50,2,3,2018-10-24,0.56,1,201
22110604,Principe Real premium 2 bedrooms loft,4406222,Hugo,Lisboa,Misericrdia,38.71546,-9.14754,Entire home/apt,300,1,13,2018-04-27,0.94,3,0
22111424,"Hip, Bubbly Apartment with Balcony and River View in Alfama",110649746,Vivi,Lisboa,So Vicente,38.71808,-9.12317,Entire home/apt,90,2,33,2018-12-12,2.89,6,301
22112936,Estoril Cozy Beach Apartment (1 BEDROOM),99481117,Carla,Cascais,Cascais e Estoril,38.71119,-9.39552,Entire home/apt,45,3,8,2019-01-31,0.82,19,351
22113241,NEW: Lovely Apartment with a Patio,914126,Martin,Lisboa,Arroios,38.72673,-9.13348,Entire home/apt,112,2,17,2018-11-02,1.62,17,190
22113767,Modern Flat @ Subway/WebSummit/Expo98,36787433,Sara,Lisboa,Marvila,38.75486,-9.11307,Entire home/apt,65,2,4,2018-06-07,0.29,1,348
22114162,Discovery Apartment Estrela,159103617,Discovery,Lisboa,Estrela,38.71004,-9.1625,Entire home/apt,70,1,1,2018-07-13,0.14,21,350
22114719,Casa do Terraço - I.B.G. HOME,2701543,Teresa Maria,Loures,Moscavide e Portela,38.78671,-9.11105,Entire home/apt,35,2,8,2019-02-03,0.88,2,315
22114961,Romantic 1 Bedroom Apt in Campolide,116114374,David,Lisboa,Campolide,38.72859,-9.16356,Entire home/apt,75,5,0,,,12,46
22116073,Apartment with Lisbon view in Chiado,161570304,Sofia,Lisboa,Santa Maria Maior,38.71342,-9.14197,Entire home/apt,200,3,3,2018-05-25,0.24,1,227
22116153,Sea-view appartment,40421223,Olivia,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.69784,-9.22939,Entire home/apt,70,2,16,2018-06-25,1.42,1,0
22117518,"INN LISBON, Madragoa Charming Apartment",15180709,Ana,Lisboa,Estrela,38.70693,-9.15746,Entire home/apt,45,2,11,2018-11-04,0.76,8,164
22121364,Cascais Bay View,161608257,Sandra,Cascais,Cascais e Estoril,38.69542,-9.42109,Entire home/apt,70,3,3,2018-06-17,0.26,1,291
