id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22948421,ITHSROM201-2 Central Location 2 bdrm Apartment,4486574,Important Group,,I Centro Storico,41.90027,12.46987,Entire home/apt,300,2,0,,,5,365
22948847,ITHSRROM201-3 Luxury One Bedroom Duplex suite,4486574,Important Group,,I Centro Storico,41.89906,12.46982,Entire home/apt,220,2,0,,,5,365
22949058,next to colosseo room 3 private,623119,Gabriela,,VII San Giovanni/Cinecittà,41.88475,12.50949,Private room,80,1,0,,,3,365
22949062,"Monti, Rione I of Rome",75895244,Laura,,I Centro Storico,41.89449,12.49299,Entire home/apt,120,2,40,2019-02-23,3.26,1,156
22949464,Appartamento ricco di stimoli vicino a Villa Borghese,2816961,Chiara,,I Centro Storico,41.90794,12.48681,Entire home/apt,180,3,30,2019-01-04,2.31,6,244
22949606,Hear the Bells of Ancient Churches from a Cozy Central Flat,39373421,Ekaterina,,I Centro Storico,41.89693,12.46916,Entire home/apt,138,2,46,2019-02-17,4.11,10,202
22950214,Discovering Monti 4,2710834,Gualtiero,,I Centro Storico,41.89511,12.48855,Entire home/apt,115,3,53,2019-03-03,4.91,4,99
22952230,Beautiful Newly Remodeled Apt - St. Peter / Navona,24340452,Fabio,,I Centro Storico,41.90107,12.46538,Entire home/apt,139,3,0,,,1,327
22953398,Camera con letto alla francese,141822246,Affittacamere,,VIII Appia Antica,41.86941,12.47715,Private room,65,1,1,2018-04-24,0.09,18,208
22954149,Luxury Penthouse to Colosseo,55368841,Sergio,,I Centro Storico,41.89084,12.50118,Entire home/apt,190,3,1,2018-07-26,0.13,2,365
22954302,Lodi Studio 1 with EnSuite in trendy local area,13395149,Marco,,V Prenestino/Centocelle,41.89033,12.53005,Private room,40,2,22,2019-01-04,1.75,13,360
22954733,Lodi Studio 2 with EnSuite in trendy local area,13395149,Marco,,V Prenestino/Centocelle,41.88898,12.5315,Private room,45,3,16,2019-01-02,1.32,13,365
22955116,Appartamento 38,6783605,Lorenzo,,I Centro Storico,41.9116,12.44668,Entire home/apt,60,2,35,2019-02-16,2.75,3,102
22955153,DEM Hotel,169886029,Shali,,I Centro Storico,41.90028,12.4928,Private room,80,1,1,2019-02-27,1,1,364
22960903,"Between Navona and Vaticano, elegant and wide",18123298,Roberta,,I Centro Storico,41.89837,12.46781,Entire home/apt,150,3,3,2018-09-26,0.27,1,349
22961071,Metro A Lucio Sestio grande stanza con giardino,170133414,Franca,,VII San Giovanni/Cinecittà,41.85845,12.55322,Private room,16,120,0,,,1,343
22961476,Open-Plan Tiber River View Loft Apartment,316068,Federico,,I Centro Storico,41.89482,12.46896,Entire home/apt,115,3,41,2019-02-17,3.25,44,283
22962031,Stanza in Appartamento Zona Collatina,142857998,Telemaco,,V Prenestino/Centocelle,41.89885,12.56426,Private room,29,2,13,2018-09-30,1.10,1,281
22964291,Goodlife House a pochi  passi dal centro,158921946,Cinzia E,,VII San Giovanni/Cinecittà,41.87619,12.5219,Entire home/apt,45,2,8,2019-01-01,0.71,1,336
22964301,Rome center-budget room- private reserved bathroom,170168063,Camelia,,VII San Giovanni/Cinecittà,41.87239,12.52579,Private room,39,1,47,2019-03-03,4.04,7,294
22966306,Almone - Short let,170188147,Federica E Alessandro,,VIII Appia Antica,41.84804,12.4754,Entire home/apt,50,2,1,2018-03-25,0.09,1,363
22968631,Trastevere Trilussa Garden,72976728,Francesco,,I Centro Storico,41.89128,12.46927,Entire home/apt,39,2,32,2018-11-03,2.64,13,188
22969054,Trastevere Trilussa  Garden 1,72976728,Francesco,,I Centro Storico,41.89073,12.46897,Entire home/apt,42,2,45,2019-02-25,3.97,13,309
22975129,San Romano Home,13890447,Cristiana,,IV Tiburtina,41.90638,12.53903,Entire home/apt,65,3,33,2019-01-03,2.65,2,348
22977901,Colosseum Comfortable apartment with wifi,358775,Antonino,,I Centro Storico,41.88776,12.49655,Entire home/apt,60,2,10,2019-01-02,0.88,3,330
22978788,SAN PIETRO - AtDhome splendida casa,170356101,Francesco,,I Centro Storico,41.90951,12.45024,Entire home/apt,119,2,30,2019-01-11,2.64,1,323
22980019,Simon's garden - Musei Vaticani,66605085,Simone,,I Centro Storico,41.90988,12.44908,Entire home/apt,60,2,32,2019-02-25,2.97,2,146
22980178,SUPER OFFER JANUARY splendida casa x 4  al mare,36705084,Consuelo,,X Ostia/Acilia,41.73079,12.27774,Entire home/apt,82,3,0,,,4,363
22980226,Azzurro San Pietro to Vatican City,170369811,Fabrizio,,I Centro Storico,41.91166,12.45451,Entire home/apt,150,1,0,,,1,353
22980856,SPECIAL OFFER JANUARY meravigliosa casa x2 al mare,36705084,Consuelo,,X Ostia/Acilia,41.73119,12.27973,Entire home/apt,65,3,1,2018-09-04,0.16,4,363
22981038,"""DA NOI DUE""",170380467,Piero,,V Prenestino/Centocelle,41.88552,12.54232,Private room,50,1,12,2018-05-21,0.95,2,347
22982171,SPECIAL OFFER JANUARY Casa da sogno x 3  al mare,36705084,Consuelo,,X Ostia/Acilia,41.73112,12.27982,Entire home/apt,73,1,0,,,4,363
22983145,Two bedroom flat in Pigneto,102314530,David,,V Prenestino/Centocelle,41.8894,12.52391,Entire home/apt,50,1,8,2019-02-24,0.61,1,19
22989165,Stanza a 100 mt dal mare e dalla stazione,166363248,Luca,,X Ostia/Acilia,41.72637,12.29294,Private room,35,1,0,,,1,89
22990068,Lovely bright room near park and underground,47362781,Kat,,VII San Giovanni/Cinecittà,41.86499,12.54024,Private room,30,2,18,2019-01-31,1.53,1,54
